"m"	"Vm"
1	3278921
2	1009781
3	568051
4	338970
5	224759
6	172377
7	129856
8	105549
9	85878
10	72100
11	61453
12	53926
13	47353
14	42094
15	37508
16	34054
17	30482
18	28123
19	25729
20	23921
21	22065
22	20778
23	19031
24	18029
25	16866
26	15839
27	15300
28	14334
29	13580
30	13002
31	12282
32	11483
33	11206
34	10486
35	10258
36	9850
37	9393
38	8785
39	8739
40	8348
41	7997
42	7751
43	7504
44	7297
45	6906
46	6858
47	6523
48	6454
49	6188
50	6116
51	5876
52	5636
53	5318
54	5380
55	5152
56	4918
57	4827
58	4775
59	4723
60	4571
61	4388
62	4338
63	4161
64	4123
65	4163
66	3828
67	3783
68	3753
69	3707
70	3535
71	3626
72	3424
73	3421
74	3247
75	3298
76	3147
77	3067
78	3047
79	2938
80	2945
81	2880
82	2773
83	2754
84	2701
85	2664
86	2620
87	2497
88	2546
89	2493
90	2513
91	2454
92	2398
93	2258
94	2271
95	2232
96	2215
97	2278
98	2142
99	2119
100	2122
101	2068
102	2054
103	1966
104	2031
105	1928
106	1987
107	1891
108	1974
109	1866
110	1830
111	1713
112	1700
113	1818
114	1756
115	1785
116	1630
117	1670
118	1644
119	1538
120	1593
121	1569
122	1579
123	1489
124	1569
125	1536
126	1381
127	1488
128	1416
129	1471
130	1351
131	1416
132	1383
133	1315
134	1309
135	1324
136	1271
137	1292
138	1303
139	1240
140	1291
141	1279
142	1185
143	1228
144	1184
145	1176
146	1169
147	1144
148	1139
149	1159
150	1194
151	1103
152	1142
153	1109
154	1090
155	1045
156	1060
157	1083
158	1081
159	1070
160	1027
161	990
162	1006
163	1017
164	976
165	1009
166	973
167	921
168	940
169	934
170	933
171	900
172	917
173	873
174	878
175	858
176	865
177	884
178	867
179	875
180	892
181	906
182	775
183	813
184	826
185	806
186	868
187	797
188	859
189	801
190	797
191	808
192	825
193	732
194	742
195	795
196	748
197	764
198	726
199	686
200	716
201	717
202	720
203	741
204	693
205	703
206	643
207	735
208	667
209	675
210	666
211	678
212	674
213	660
214	667
215	657
216	624
217	683
218	632
219	626
220	647
221	624
222	619
223	616
224	658
225	674
226	596
227	619
228	614
229	569
230	590
231	595
232	557
233	580
234	600
235	556
236	586
237	562
238	575
239	578
240	566
241	565
242	571
243	521
244	538
245	566
246	510
247	511
248	502
249	508
250	491
251	526
252	506
253	525
254	473
255	500
256	493
257	501
258	500
259	498
260	511
261	499
262	470
263	487
264	464
265	481
266	468
267	487
268	451
269	481
270	450
271	443
272	453
273	458
274	437
275	470
276	447
277	413
278	414
279	451
280	413
281	409
282	421
283	419
284	449
285	433
286	412
287	423
288	395
289	400
290	381
291	391
292	406
293	418
294	389
295	364
296	431
297	386
298	366
299	392
300	401
301	356
302	386
303	414
304	407
305	392
306	376
307	364
308	344
309	373
310	348
311	359
312	366
313	378
314	377
315	369
316	374
317	371
318	353
319	352
320	354
321	380
322	345
323	372
324	346
325	336
326	369
327	330
328	341
329	345
330	344
331	322
332	335
333	343
334	329
335	315
336	324
337	331
338	307
339	311
340	331
341	324
342	311
343	298
344	314
345	292
346	321
347	288
348	318
349	281
350	314
351	302
352	305
353	306
354	295
355	313
356	274
357	297
358	301
359	283
360	284
361	266
362	252
363	296
364	283
365	231
366	282
367	278
368	293
369	275
370	263
371	269
372	265
373	280
374	294
375	269
376	278
377	292
378	240
379	280
380	264
381	275
382	274
383	244
384	234
385	260
386	256
387	279
388	258
389	251
390	250
391	239
392	259
393	260
394	247
395	236
396	250
397	252
398	247
399	264
400	238
401	266
402	239
403	244
404	223
405	239
406	254
407	217
408	213
409	213
410	246
411	249
412	255
413	214
414	211
415	223
416	215
417	249
418	233
419	203
420	217
421	217
422	226
423	251
424	207
425	197
426	217
427	241
428	242
429	195
430	231
431	235
432	224
433	234
434	186
435	211
436	205
437	230
438	214
439	228
440	208
441	203
442	207
443	220
444	171
445	206
446	208
447	204
448	194
449	209
450	222
451	194
452	195
453	205
454	190
455	187
456	185
457	226
458	202
459	185
460	183
461	219
462	186
463	184
464	205
465	199
466	187
467	162
468	206
469	156
470	190
471	201
472	180
473	195
474	188
475	184
476	184
477	145
478	189
479	185
480	183
481	185
482	188
483	196
484	201
485	183
486	191
487	183
488	202
489	181
490	141
491	184
492	169
493	153
494	184
495	150
496	184
497	176
498	187
499	154
500	162
501	172
502	177
503	150
504	159
505	136
506	187
507	161
508	174
509	139
510	166
511	152
512	158
513	146
514	167
515	169
516	176
517	158
518	155
519	148
520	136
521	153
522	177
523	168
524	155
525	146
526	126
527	145
528	159
529	157
530	149
531	151
532	173
533	128
534	150
535	148
536	157
537	138
538	166
539	161
540	142
541	148
542	164
543	146
544	137
545	157
546	147
547	122
548	145
549	162
550	153
551	154
552	132
553	141
554	136
555	156
556	127
557	144
558	127
559	130
560	147
561	147
562	140
563	126
564	160
565	140
566	146
567	141
568	132
569	136
570	154
571	132
572	141
573	165
574	124
575	131
576	136
577	128
578	135
579	134
580	135
581	118
582	142
583	125
584	137
585	119
586	143
587	130
588	138
589	143
590	137
591	127
592	122
593	128
594	129
595	124
596	131
597	126
598	123
599	135
600	137
601	132
602	120
603	120
604	122
605	119
606	130
607	118
608	152
609	141
610	107
611	141
612	128
613	132
614	103
615	124
616	101
617	95
618	127
619	126
620	121
621	112
622	128
623	106
624	118
625	112
626	117
627	122
628	131
629	119
630	125
631	121
632	125
633	109
634	131
635	101
636	110
637	113
638	123
639	104
640	122
641	111
642	122
643	114
644	129
645	109
646	132
647	142
648	100
649	112
650	108
651	106
652	107
653	125
654	109
655	101
656	101
657	116
658	120
659	112
660	100
661	118
662	97
663	113
664	104
665	119
666	127
667	116
668	93
669	110
670	115
671	99
672	106
673	104
674	109
675	100
676	97
677	102
678	106
679	118
680	104
681	100
682	113
683	110
684	103
685	126
686	117
687	111
688	118
689	116
690	81
691	111
692	111
693	82
694	89
695	104
696	109
697	112
698	116
699	106
700	108
701	89
702	121
703	94
704	101
705	101
706	102
707	81
708	105
709	99
710	93
711	86
712	93
713	118
714	108
715	96
716	83
717	113
718	99
719	85
720	95
721	101
722	100
723	77
724	107
725	97
726	70
727	98
728	77
729	103
730	91
731	91
732	89
733	83
734	106
735	82
736	88
737	83
738	80
739	90
740	71
741	88
742	111
743	122
744	86
745	101
746	75
747	92
748	100
749	76
750	88
751	83
752	92
753	103
754	98
755	77
756	81
757	66
758	95
759	88
760	87
761	110
762	96
763	81
764	85
765	81
766	86
767	89
768	91
769	84
770	72
771	89
772	86
773	82
774	90
775	100
776	81
777	74
778	91
779	83
780	80
781	103
782	76
783	91
784	82
785	77
786	84
787	97
788	80
789	91
790	81
791	88
792	88
793	87
794	77
795	77
796	91
797	89
798	80
799	66
800	66
801	86
802	84
803	86
804	77
805	66
806	91
807	94
808	76
809	80
810	72
811	70
812	71
813	61
814	83
815	69
816	95
817	76
818	78
819	69
820	65
821	91
822	92
823	75
824	88
825	79
826	69
827	86
828	80
829	76
830	85
831	82
832	73
833	80
834	73
835	72
836	82
837	82
838	63
839	77
840	67
841	59
842	76
843	78
844	74
845	67
846	83
847	78
848	69
849	71
850	70
851	80
852	82
853	80
854	73
855	80
856	76
857	72
858	56
859	75
860	74
861	69
862	82
863	84
864	78
865	74
866	70
867	72
868	90
869	72
870	65
871	77
872	70
873	72
874	77
875	59
876	86
877	62
878	76
879	90
880	71
881	70
882	61
883	67
884	76
885	69
886	82
887	70
888	68
889	80
890	54
891	81
892	74
893	65
894	76
895	58
896	90
897	68
898	70
899	60
900	70
901	70
902	57
903	58
904	63
905	62
906	72
907	65
908	74
909	59
910	95
911	56
912	61
913	68
914	68
915	70
916	58
917	60
918	60
919	53
920	64
921	72
922	54
923	64
924	74
925	72
926	58
927	67
928	49
929	62
930	48
931	81
932	81
933	66
934	63
935	55
936	62
937	62
938	78
939	45
940	77
941	65
942	78
943	60
944	80
945	64
946	65
947	58
948	57
949	53
950	55
951	56
952	60
953	48
954	54
955	54
956	69
957	63
958	49
959	62
960	76
961	67
962	54
963	80
964	61
965	56
966	69
967	58
968	51
969	55
970	52
971	72
972	65
973	53
974	62
975	63
976	59
977	67
978	72
979	44
980	65
981	70
982	67
983	48
984	56
985	68
986	55
987	64
988	72
989	61
990	53
991	65
992	58
993	57
994	53
995	63
996	56
997	56
998	67
999	48
1000	70
1001	60
1002	63
1003	48
1004	66
1005	66
1006	64
1007	59
1008	65
1009	63
1010	49
1011	52
1012	60
1013	59
1014	51
1015	58
1016	50
1017	50
1018	66
1019	48
1020	44
1021	47
