m	Vm
1	93306
2	29128
3	15402
4	10314
5	7349
6	5659
7	4528
8	3760
9	3182
10	2755
11	2364
12	2084
13	1805
14	1666
15	1474
16	1384
17	1251
18	1221
19	1038
20	949
21	920
22	845
23	793
24	755
25	718
26	630
27	615
28	615
29	592
30	511
31	512
32	485
33	462
34	461
35	387
36	382
37	381
38	358
39	360
40	358
41	276
42	269
43	303
44	312
45	288
46	295
47	271
48	249
49	199
50	225
51	243
52	205
53	208
54	228
55	212
56	185
57	176
58	182
59	192
60	165
61	145
62	146
63	173
64	151
65	153
66	143
67	143
68	159
69	151
70	140
71	109
72	130
73	122
74	113
75	129
76	118
77	106
78	107
79	101
80	113
81	95
82	112
83	93
84	96
85	89
86	82
87	89
88	94
89	89
90	95
91	76
92	72
93	83
94	101
95	71
96	86
97	64
98	87
99	81
100	68
101	71
102	82
103	79
104	77
105	72
106	61
107	67
108	63
109	55
110	60
111	72
112	60
113	60
114	66
115	55
116	45
117	48
118	54
119	57
120	48
121	58
122	49
123	48
124	62
125	41
126	50
127	51
128	53
129	36
130	49
131	40
132	32
133	49
134	33
135	33
136	36
137	46
138	41
139	48
140	41
141	26
142	45
143	37
144	41
145	42
146	48
147	34
148	46
149	38
150	35
151	26
152	48
153	39
154	23
155	34
156	38
157	29
158	31
159	26
160	26
161	32
162	30
163	26
164	28
165	21
166	30
167	25
168	28
169	34
170	38
171	21
172	45
173	30
174	39
175	21
176	23
177	22
178	15
179	27
180	27
181	29
182	33
183	19
184	35
185	22
186	20
187	21
188	22
189	30
190	22
191	16
192	21
193	29
194	21
195	22
196	17
197	28
198	29
199	20
200	16
201	15
202	14
203	15
204	26
205	16
206	21
207	18
208	23
209	17
210	21
211	20
212	15
213	14
214	17
215	26
216	17
217	17
218	22
219	13
220	17
221	16
222	14
223	22
224	21
225	20
226	18
227	16
228	11
229	17
230	5
231	21
232	20
233	20
234	19
235	17
236	14
237	23
238	20
239	11
240	20
241	15
242	20
243	17
244	21
245	14
246	8
247	13
248	13
249	14
250	23
251	11
252	19
253	16
254	8
255	16
256	15
257	7
258	13
259	15
260	12
261	10
262	15
263	13
264	10
265	13
266	18
267	10
268	17
269	19
270	12
271	13
272	8
273	10
274	15
275	15
276	10
277	7
278	9
279	11
280	12
281	11
282	14
283	12
284	12
285	13
286	9
287	14
288	14
289	10
290	10
291	16
292	7
293	10
294	15
295	15
296	11
297	7
298	7
299	6
300	12
301	8
302	10
303	10
304	9
305	10
306	11
307	6
308	15
309	3
310	11
311	9
312	6
313	14
314	9
315	12
316	11
317	11
318	5
319	7
320	8
321	9
322	13
323	10
324	6
325	11
326	8
327	6
328	7
329	11
330	10
331	7
332	5
333	11
334	8
335	11
336	8
337	8
338	11
339	13
340	3
341	9
342	10
343	7
344	11
345	8
346	4
347	9
348	8
349	12
350	10
351	7
352	5
353	12
354	9
355	5
356	10
357	7
358	9
359	5
360	11
361	8
362	7
363	5
364	6
365	6
366	9
367	7
368	6
369	5
370	10
371	7
372	7
373	11
374	4
375	7
376	2
377	7
378	7
379	5
380	9
381	4
382	4
383	6
384	9
385	5
386	2
387	6
388	6
389	8
390	4
391	9
392	2
393	4
394	13
395	11
396	4
397	6
398	9
399	7
400	6
401	6
402	7
403	8
404	2
405	6
406	5
407	7
408	9
409	6
410	6
411	7
412	3
413	7
414	6
415	7
416	4
417	6
418	8
419	6
420	7
421	3
422	3
423	4
424	4
425	4
426	3
427	4
428	7
429	5
430	6
431	3
432	5
433	6
434	8
435	4
436	2
437	5
438	5
439	5
440	5
441	8
442	6
443	6
444	2
445	4
446	7
447	5
448	4
449	2
450	5
451	3
452	5
453	7
454	2
455	1
456	7
457	4
458	4
459	1
460	2
461	5
462	4
463	5
464	4
465	4
466	3
467	5
468	3
469	3
470	4
471	3
472	5
473	3
474	5
475	4
476	2
477	6
478	5
479	4
480	4
481	4
483	8
484	5
485	3
486	4
487	6
488	4
489	2
490	6
491	2
492	8
493	4
494	5
495	5
496	3
497	1
498	3
499	5
500	2
501	1
502	3
503	3
504	2
505	1
506	4
507	2
508	4
509	3
510	3
511	5
512	2
513	4
514	4
515	1
516	6
517	5
518	1
519	3
520	4
521	7
522	3
523	3
524	7
525	3
526	5
527	2
528	2
529	8
530	6
531	3
532	3
533	2
534	1
535	4
536	1
537	4
538	4
539	8
540	4
541	5
542	1
543	3
544	4
545	3
546	1
547	3
548	2
549	1
550	2
551	4
552	1
553	3
554	2
555	4
556	2
557	3
558	3
559	5
560	4
561	1
562	2
563	3
564	1
565	4
566	6
567	3
568	2
569	4
570	4
571	1
572	5
573	2
574	2
575	4
576	1
577	2
578	6
579	4
580	4
581	3
582	6
583	2
584	7
585	3
586	1
587	3
588	3
589	4
590	2
591	5
592	3
593	2
594	4
595	2
596	6
597	3
598	3
599	4
600	5
601	2
602	2
603	5
604	3
605	4
607	4
608	1
609	4
610	2
611	4
612	5
613	5
614	3
615	1
616	1
617	4
618	4
619	4
620	4
621	8
622	1
623	3
624	2
625	4
626	1
627	2
628	6
629	4
630	2
631	1
632	4
633	2
634	6
635	1
636	1
637	1
638	4
640	1
641	1
642	4
643	6
644	2
645	2
