N	V	V1
1000	552	392
2000	867	561
3000	1095	677
4000	1276	766
5000	1616	967
6000	1920	1160
7000	2200	1332
8000	2428	1446
9000	2708	1621
10000	2877	1694
11000	3139	1877
12000	3335	1988
13000	3601	2163
14000	3810	2255
15000	3998	2349
16000	4197	2451
17000	4384	2562
18000	4557	2656
19000	4679	2692
20000	4869	2814
21000	4917	2714
22000	4950	2616
23000	4972	2436
24000	4980	2315
25000	4995	2202
26000	5031	2084
27000	5044	1952
28000	5060	1830
29000	5082	1766
30000	5096	1647
31000	5221	1676
32000	5320	1714
33000	5406	1763
34000	5535	1836
35000	5723	1970
36000	5970	2153
37000	6101	2223
38000	6215	2287
39000	6412	2439
40000	6580	2551
41000	6711	2625
42000	6821	2681
43000	6954	2757
44000	7032	2794
45000	7140	2854
46000	7267	2934
47000	7397	3024
48000	7475	3042
49000	7548	3064
50000	7587	3078
51000	7638	3097
52000	7735	3153
53000	7769	3154
54000	7782	3080
55000	7789	3038
56000	7792	2980
57000	7797	2902
58000	7814	2776
59000	7822	2635
60000	7837	2570
61000	7840	2509
62000	7850	2346
63000	7858	2239
64000	7861	2171
65000	7874	2083
66000	7887	2025
67000	7889	1961
68000	7895	1862
69000	7901	1793
70000	7906	1693
71000	7908	1643
72000	7914	1609
73000	7918	1583
74000	7923	1523
75000	7927	1483
76000	8037	1549
77000	8168	1642
78000	8299	1737
79000	8438	1834
80000	8609	1964
81000	8734	2061
82000	8841	2126
83000	8966	2205
84000	9167	2332
85000	9394	2510
86000	9600	2672
87000	9779	2789
88000	9941	2906
89000	10079	2988
90000	10440	3266
91000	10613	3382
92000	10707	3414
93000	10807	3449
94000	10957	3541
95000	11123	3657
96000	11309	3788
97000	11493	3901
98000	11678	4038
99000	11847	4155
100000	12003	4255
101000	12177	4371
102000	12351	4478
103000	12481	4551
104000	12646	4665
105000	12776	4744
106000	12928	4833
107000	13092	4937
108000	13227	5022
109000	13305	5060
110000	13389	5110
111000	13516	5182
112000	13688	5281
113000	13843	5387
114000	13997	5487
115000	14153	5585
116000	14362	5735
117000	14503	5831
118000	14600	5897
119000	14692	5949
120000	14774	5988
121000	14870	6043
122000	14969	6101
123000	15067	6159
124000	15149	6196
125000	15220	6233
126000	15285	6268
127000	15360	6297
128000	15450	6333
129000	15571	6419
130000	15657	6465
131000	15711	6491
132000	15804	6537
133000	15894	6585
134000	16001	6646
135000	16032	6650
136000	16084	6672
137000	16136	6683
138000	16191	6716
139000	16239	6729
140000	16313	6778
141000	16404	6829
142000	16475	6857
143000	16555	6885
144000	16641	6936
145000	16760	7018
146000	16879	7084
147000	16982	7136
148000	17111	7213
149000	17237	7279
150000	17372	7365
151000	17495	7432
152000	17654	7532
153000	17827	7626
154000	17953	7694
155000	18041	7689
156000	18178	7783
157000	18286	7858
158000	18387	7913
