N	V	V1
1000	499	332
2000	856	560
3000	1216	781
4000	1476	946
5000	1738	1076
6000	1995	1217
7000	2265	1365
8000	2497	1485
9000	2750	1610
10000	2994	1743
11000	3227	1862
12000	3466	2004
13000	3687	2110
14000	3897	2206
15000	4109	2318
16000	4303	2412
17000	4421	2453
18000	4569	2506
19000	4711	2566
20000	4916	2675
21000	5077	2732
22000	5207	2805
23000	5403	2929
24000	5521	2969
25000	5717	3059
26000	5836	3086
27000	5963	3144
28000	6092	3178
29000	6250	3263
30000	6399	3337
31000	6518	3378
32000	6749	3524
33000	6833	3552
34000	6998	3648
35000	7076	3667
36000	7191	3730
37000	7300	3766
38000	7427	3833
39000	7559	3896
40000	7715	3968
41000	7802	3996
42000	7905	4041
43000	8028	4084
44000	8150	4137
45000	8245	4181
46000	8345	4222
47000	8489	4291
48000	8594	4340
49000	8692	4380
50000	8762	4389
51000	8869	4439
52000	8996	4510
53000	9104	4557
54000	9225	4616
55000	9316	4654
56000	9374	4667
57000	9427	4675
58000	9506	4704
59000	9594	4738
60000	9702	4793
61000	9817	4835
62000	9934	4896
63000	10047	4946
64000	10150	4986
65000	10218	5001
66000	10302	5034
67000	10404	5089
68000	10494	5120
69000	10570	5150
70000	10659	5183
71000	10768	5234
72000	10890	5296
73000	10988	5340
74000	11055	5368
75000	11117	5388
76000	11186	5410
77000	11272	5447
78000	11352	5468
79000	11466	5531
80000	11588	5584
81000	11716	5642
82000	11806	5686
83000	11917	5726
84000	11995	5765
85000	12079	5796
86000	12204	5851
87000	12269	5878
88000	12346	5907
89000	12417	5941
90000	12495	5974
91000	12602	6032
92000	12687	6075
93000	12756	6104
94000	12845	6138
95000	12925	6175
96000	12975	6173
97000	13068	6212
98000	13143	6227
99000	13196	6250
100000	13246	6245
101000	13324	6270
102000	13413	6302
103000	13464	6325
104000	13538	6349
105000	13595	6380
106000	13675	6412
107000	13732	6429
108000	13814	6457
109000	13869	6471
110000	13938	6501
111000	14042	6556
112000	14140	6600
113000	14207	6631
114000	14256	6637
115000	14329	6676
116000	14428	6710
117000	14500	6738
118000	14551	6755
119000	14615	6771
120000	14652	6775
121000	14712	6796
122000	14766	6823
123000	14884	6880
124000	14989	6926
125000	15047	6945
126000	15085	6958
127000	15192	7020
128000	15305	7079
129000	15366	7117
130000	15437	7129
131000	15517	7170
132000	15600	7204
133000	15688	7233
134000	15770	7255
135000	15850	7298
136000	15932	7338
137000	16036	7397
138000	16103	7425
139000	16153	7441
140000	16202	7458
141000	16249	7472
142000	16297	7490
143000	16356	7505
144000	16407	7518
145000	16466	7545
146000	16571	7600
147000	16647	7624
148000	16710	7647
149000	16776	7667
150000	16842	7693
151000	16885	7710
152000	16958	7748
153000	17026	7794
154000	17113	7840
155000	17167	7868
156000	17268	7913
157000	17346	7956
158000	17382	7968
159000	17478	8008
160000	17541	8034
161000	17609	8068
162000	17682	8104
163000	17757	8136
164000	17853	8185
165000	17926	8207
166000	18012	8251
167000	18062	8276
168000	18095	8292
169000	18151	8307
170000	18195	8318
171000	18241	8339
172000	18325	8357
173000	18373	8368
174000	18431	8386
175000	18488	8402
176000	18548	8417
177000	18612	8450
178000	18672	8468
179000	18717	8490
180000	18781	8533
181000	18827	8541
182000	18901	8569
183000	18983	8615
184000	19043	8646
185000	19078	8652
186000	19129	8673
187000	19177	8680
188000	19216	8688
189000	19256	8689
190000	19349	8747
191000	19381	8752
192000	19439	8776
193000	19503	8809
194000	19542	8825
195000	19578	8837
196000	19619	8856
197000	19665	8878
198000	19728	8912
199000	19797	8944
200000	19840	8962
201000	19891	8984
202000	19918	8994
203000	19982	9028
204000	20030	9044
205000	20077	9052
206000	20120	9073
207000	20137	9079
208000	20162	9084
209000	20236	9117
210000	20307	9152
211000	20395	9194
212000	20457	9208
213000	20517	9231
214000	20573	9255
215000	20610	9265
216000	20678	9289
217000	20739	9319
218000	20832	9366
219000	20858	9375
220000	20894	9391
221000	20932	9408
222000	21024	9453
223000	21073	9473
224000	21147	9511
225000	21198	9531
226000	21252	9550
227000	21302	9573
228000	21349	9585
229000	21389	9591
230000	21445	9615
231000	21516	9641
232000	21556	9651
233000	21602	9672
234000	21681	9711
235000	21762	9745
236000	21827	9767
237000	21864	9790
238000	21903	9800
239000	21958	9827
240000	21995	9835
241000	22063	9869
242000	22087	9875
243000	22166	9912
244000	22223	9922
245000	22260	9934
246000	22282	9930
247000	22326	9951
248000	22361	9968
249000	22401	9986
250000	22468	10015
251000	22487	10016
252000	22531	10023
253000	22590	10041
254000	22659	10073
255000	22694	10090
256000	22743	10113
257000	22784	10131
258000	22845	10158
259000	22883	10174
260000	22952	10207
261000	22986	10217
262000	23017	10229
263000	23091	10254
264000	23132	10273
265000	23170	10289
266000	23230	10319
267000	23309	10333
268000	23384	10373
269000	23450	10401
270000	23517	10436
271000	23594	10476
272000	23664	10507
273000	23725	10533
274000	23764	10549
275000	23789	10550
276000	23833	10566
277000	23888	10581
278000	23945	10603
279000	23993	10620
280000	24018	10625
281000	24053	10636
282000	24087	10651
283000	24152	10688
284000	24196	10709
285000	24261	10738
286000	24327	10765
287000	24369	10783
288000	24387	10785
289000	24430	10796
290000	24473	10804
291000	24503	10812
292000	24546	10828
293000	24583	10842
294000	24637	10862
295000	24681	10883
296000	24739	10895
297000	24800	10922
298000	24876	10964
299000	24922	10983
300000	24964	10997
301000	25002	11014
302000	25033	11031
303000	25069	11039
304000	25127	11072
305000	25157	11069
306000	25216	11097
307000	25259	11103
308000	25309	11130
309000	25338	11140
310000	25383	11154
311000	25484	11212
312000	25546	11245
