m	Vm
1	303629
2	48035
3	24275
4	13950
5	9371
6	7261
7	5585
8	4593
9	3909
10	3406
11	2963
12	2511
13	2213
14	1922
15	1882
16	1749
17	1582
18	1353
19	1344
20	1270
21	1133
22	1121
23	981
24	970
25	919
26	846
27	792
28	797
29	789
30	682
31	669
32	619
33	628
34	575
35	567
36	571
37	514
38	487
39	501
40	456
41	451
42	458
43	409
44	425
45	377
46	370
47	383
48	331
49	320
50	325
51	316
52	310
53	334
54	296
55	259
56	286
57	293
58	250
59	279
60	253
61	243
62	248
63	249
64	221
65	245
66	236
67	190
68	206
69	229
70	204
71	188
72	195
73	212
74	196
75	188
76	169
77	183
78	191
79	154
80	164
81	162
82	154
83	156
84	152
85	151
86	150
87	140
88	149
89	136
90	155
91	143
92	133
93	128
94	118
95	127
96	110
97	132
98	123
99	119
100	110
101	125
102	117
103	123
104	98
105	118
106	99
107	97
108	107
109	102
110	89
111	111
112	114
113	81
114	89
115	112
116	106
117	100
118	101
119	87
120	99
121	86
122	92
123	78
124	86
125	85
126	95
127	81
128	67
129	74
130	56
131	64
132	76
133	84
134	64
135	80
136	84
137	75
138	70
139	70
140	70
141	68
142	67
143	62
144	60
145	54
146	56
147	64
148	55
149	56
150	53
151	70
152	73
153	48
154	56
155	59
156	49
157	59
158	56
159	63
160	69
161	46
162	52
163	52
164	51
165	39
166	49
167	46
168	52
169	46
170	44
171	63
172	55
173	46
174	54
175	56
176	47
177	49
178	36
179	38
180	58
181	57
182	41
183	48
184	38
185	48
186	33
187	37
188	42
189	37
190	38
191	33
192	42
193	54
194	43
195	53
196	40
197	39
198	34
199	34
200	28
201	36
202	39
203	42
204	42
205	33
206	30
207	42
208	29
209	47
210	28
211	24
212	37
213	29
214	23
215	48
216	30
217	36
218	33
219	35
220	31
221	33
222	36
223	32
224	31
225	24
226	38
227	27
228	30
229	34
230	30
231	23
232	25
233	32
234	29
235	34
236	33
237	29
238	33
239	22
240	27
241	21
242	20
243	31
244	30
245	32
246	26
247	31
248	29
249	29
250	30
251	32
252	29
253	22
254	26
255	37
256	19
257	31
258	21
259	25
260	20
261	24
262	29
263	26
264	26
265	34
266	16
267	18
268	23
269	24
270	25
271	19
272	32
273	29
274	20
275	22
276	16
277	27
278	20
279	27
280	22
281	21
282	23
283	24
284	27
285	17
286	24
287	18
288	16
289	31
290	33
291	15
292	15
293	19
294	14
295	21
296	19
297	16
298	19
299	19
300	24
301	25
302	19
303	18
304	18
305	14
306	20
307	25
308	21
309	13
310	18
311	20
312	11
313	21
314	22
315	28
316	14
317	13
318	10
319	18
320	20
321	29
322	22
323	19
324	17
325	17
326	23
327	21
328	16
329	16
330	20
331	11
332	18
