N	V	V1
1000	655	512
2000	1126	833
3000	1563	1133
4000	1928	1351
5000	2242	1522
6000	2544	1715
7000	2827	1868
8000	3083	2004
9000	3316	2122
10000	3540	2243
11000	3783	2368
12000	4022	2518
13000	4243	2638
14000	4409	2728
15000	4619	2840
16000	4866	2983
17000	5046	3073
18000	5260	3218
19000	5482	3365
20000	5673	3467
21000	5871	3589
22000	6074	3712
23000	6231	3794
24000	6384	3873
25000	6534	3950
26000	6668	4008
27000	6875	4121
28000	7088	4243
29000	7335	4410
30000	7553	4549
31000	7779	4675
32000	7998	4829
33000	8255	4984
34000	8482	5046
35000	8679	5165
36000	8836	5244
37000	9011	5355
38000	9160	5432
39000	9322	5529
40000	9454	5600
41000	9660	5716
42000	9880	5874
43000	10064	5988
44000	10251	6086
45000	10447	6197
46000	10611	6291
47000	10780	6384
48000	10943	6475
49000	11086	6551
50000	11244	6641
51000	11394	6732
52000	11552	6815
53000	11702	6905
54000	11844	6959
55000	11991	7039
56000	12142	7129
57000	12300	7230
58000	12472	7333
59000	12638	7423
60000	12774	7498
61000	12926	7575
62000	13071	7655
63000	13208	7728
64000	13338	7801
65000	13477	7868
66000	13610	7940
67000	13749	8020
68000	13873	8089
69000	13996	8152
70000	14136	8224
71000	14240	8263
72000	14310	8287
73000	14431	8354
74000	14547	8422
75000	14641	8474
76000	14734	8528
77000	14818	8561
78000	14916	8605
79000	15007	8657
80000	15081	8695
81000	15177	8746
82000	15242	8774
83000	15285	8788
84000	15332	8813
85000	15459	8889
86000	15590	8961
87000	15714	9024
88000	15826	9076
89000	15934	9126
90000	16048	9182
91000	16182	9261
92000	16318	9345
93000	16434	9403
94000	16565	9478
95000	16696	9542
96000	16790	9583
97000	16930	9660
98000	17069	9739
99000	17200	9795
100000	17322	9863
101000	17420	9919
102000	17527	9976
103000	17652	10051
104000	17774	10116
105000	17872	10165
106000	17985	10224
107000	18076	10265
108000	18201	10338
109000	18319	10396
110000	18432	10443
111000	18547	10505
112000	18671	10566
113000	18800	10653
114000	18896	10689
115000	19000	10752
116000	19094	10810
117000	19181	10854
118000	19246	10878
119000	19318	10914
120000	19383	10936
121000	19444	10967
122000	19549	11030
123000	19672	11096
124000	19763	11135
125000	19863	11187
126000	19958	11239
127000	20037	11274
128000	20144	11318
129000	20229	11359
130000	20318	11404
131000	20428	11476
132000	20536	11537
133000	20667	11604
134000	20793	11674
135000	20924	11768
136000	20979	11784
137000	21069	11826
138000	21178	11889
139000	21268	11933
140000	21341	11962
141000	21439	12006
142000	21537	12053
143000	21616	12093
144000	21696	12133
145000	21768	12166
146000	21844	12208
147000	21942	12269
148000	22048	12338
149000	22154	12384
150000	22275	12453
151000	22395	12516
152000	22498	12564
153000	22608	12623
154000	22711	12681
155000	22783	12700
156000	22895	12770
157000	23004	12831
158000	23094	12864
159000	23203	12927
160000	23303	12984
161000	23401	13029
162000	23514	13094
163000	23606	13123
164000	23699	13159
165000	23800	13203
166000	23896	13245
167000	23990	13300
168000	24081	13328
169000	24180	13376
170000	24263	13422
171000	24350	13464
172000	24448	13518
173000	24534	13559
174000	24579	13580
175000	24631	13610
176000	24694	13647
177000	24758	13688
178000	24848	13733
179000	24952	13789
180000	25059	13847
181000	25171	13907
182000	25278	13957
183000	25388	14039
184000	25493	14099
185000	25605	14156
186000	25739	14244
187000	25849	14307
188000	25942	14341
