"","ResuPred","Sentence","Causer","MentalS","Causee","MentalO","Property","Transitivity","Varieties","Resource"
"1","使","藉 空中 攻擊 刺殺 海珊 總統 和 伊 領導 人士 ， <使> 伊 政權 崩潰 ，","空中攻擊",0,"伊政權",1,"affective","INTR","CHT","ASBC"
"2","使","我 認為 除此之外 沒有 任何 其他 方法 可以 <使> 這 場 戰爭 結束 。","方法",0,"戰爭",0,"physical","INTR","CHT","ASBC"
"3","使","外交 解決 可 <使> 美國 減低 地面 戰爭 的 損傷 。","外交解決",0,"美國",1,"affective","TR","CHT","ASBC"
"4","使","而 家人 好友 的 逆耳 忠言 <使> 妳 從 戀愛 的 昏迷 中 逐漸 甦醒 ，","逆耳忠言",0,"妳",1,"affective","INTR","CHT","ASBC"
"5","使","這 句 話 <使> 余 大悟 一 番 ，","這句話",0,"余",1,"affective","INTR","CHT","ASBC"
"6","使","藉由 教育 和 職業 <使> 她們 能夠 獨立 自主 ，","教育和職業",0,"她們",1,"affective","INTR","CHT","ASBC"
"7","使","如此 研究 成果 將 更 能 <使> 病人 受惠 。","研究成果",0,"病人",1,"affective","INTR","CHT","ASBC"
"8","使","其 結果 均 將 <使> 管徑 變窄 ，","結果",0,"管徑",0,"physical","INTR","CHT","ASBC"
"9","使","也許 成所 慶祝會 的 最 大 意義 可 <使> 本 所 同仁 記取 一些 歷史 事實 ，","成所慶祝會的最大意義",0,"本所同仁",1,"affective","TR","CHT","ASBC"
"10","使","在野黨 質疑 該 案 僅 <使> 地主 受惠 ，","該案",0,"地主",0,"physical","INTR","CHT","ASBC"
"11","使","指出 下列 四 個 領域 可以 <使> 美國 重回 高科技 領導 寶座 ：","四個領域",0,"美國",0,"physical","INTR","CHT","ASBC"
"12","使","但 利益 導向 將 <使> 社會 道德 規範 無法 完全 顧及 。","利益導向",0,"社會道德規範",0,"physical","INTR","CHT","ASBC"
"13","使","它 <使> 電腦 所 展現 的 不僅 是 圖形 、 文字 ，","它",0,"電腦",0,"physical","TR","CHT","ASBC"
"14","使","以 ＳｉｔｅＬｉｃｅｎｓｅ 方式 購買 ＩＮＮＯＰＡＣ 的 ＵｓｅｒＬｉｃｅｎｓｅ 、 <使> ＩＮＮＯＰＡＣ 更 本土化 、 ＣＣＣＩＩ－ 倚天 對照表 問題 、 非 本 聯盟 的 圖書館 參加 本 會議 等 提案 。","以 ＳｉｔｅＬｉｃｅｎｓｅ 方式 購買 ＩＮＮＯＰＡＣ 的 ＵｓｅｒＬｉｃｅｎｓｅ",0,"ＩＮＮＯＰＡＣ",0,"physical","TR","CHT","ASBC"
"15","使","所以 其 解體 將 <使> 相關 商品 的 供需 嚴重 失序 。","解體",0,"相關商品的供需",0,"physical","INTR","CHT","ASBC"
"16","使","京華城 事件 <使> 法務部 被 誤會 包庇 違法 特權 ，","京華城事件",0,"法務部",0,"physical","TR","CHT","ASBC"
"17","使","儘管 選舉 結果 <使> 北京 最 不 喜歡 的 民進黨 躍居 台灣 國會 最 大 黨 ，","選舉結果",0,"北京最不喜歡的民進黨",0,"physical","TR","CHT","ASBC"
"18","使","而 台灣 的 經濟 現況 也 <使> 政府 必須 改弦更張 。","台灣的經濟現況",0,"政府",1,"affective","INTR","CHT","ASBC"
"19","使","在 資訊 科技 （ IT ） 創新 、 資本 市場 活絡 、 公共 部門 仍 以 市場 力量 為 師 、 企業 削減 成本 效益 浮現 、 市場 波動 幅度 縮小 <使> 風險 降低 等 因素 的 緩和 下 ，","市場波動幅度縮小",0,"風險",0,"physical","INTR","CHT","ASBC"
"20","使","肯亞 婦女 的 養育 方式 基本 上 <使> 嬰幼兒 不致 因為 沒有 父母 的 照顧 而 發生 危險 ，","肯亞婦女的養育方式",0,"嬰幼兒",0,"physical","TR","CHT","ASBC"
