id,ResuPred,sentence,pre,post,Subj,MentalS,Obj,MentalO,Property,Transitivity,Varieties
1,rang,他們 甚至 不 <讓> 我們 把 屍體 取回 。,他們/r 甚至/d 不/d,我們/r 把/p 屍體/n 取回/v,他們,1,我們,1,inducive,TR,CHT
3,rang,終於 同意 各 <讓> 一 步 ，,終於/d 同意/d 各/r,一/m 步/n,,,,,physical,,CHT
4,rang,倒是 他 的 許多 俏皮話 <讓> 人 印象 深刻 ，,倒/v 是/v 他/r 的/uj 許多/m 俏皮話/n,人/n 印象/n 深刻/d,他的許多俏皮話,0,人,1,affective,INTR,CHT
9,rang,還有 一 項 頗 受 地方 人士 稱奇 的 是 能 報 明牌 <讓> 賭客 得 了 不少 財富 ，,還有/v 一/m 項/n 頗/d 受/v 地方/n 人士/n 稱奇/n 的/uj 是/v 能/v 報/n 明牌/v,賭客/n 得/ud 了/ul 不少/d 財富/n,報明牌,0,賭客,0,physical,TR,CHT
12,rang,都會區 主管 的 見識 及 反應 敏捷 <讓> 所屬 留下 深刻 印象 ，,都會區/n 主管/n 的/uj 見識/v 及/c 反應/vn 敏捷/a,所屬/b 留下/v 深刻/d 印象/n,都會區主管的見識及反應敏捷,0,所屬,0,physical,TR,CHT
16,rang,這 一切 <讓> 一般 市井小民 眼花撩亂 ，,這/zg 一切/r,一般/a 市井小民/n 眼花撩亂/vn,這一切,0,市井小民,0,physical,INTR,CHT
22,rang,這些 現象 <讓> 我們 發現 了 許多 問題 ，,這些/r 現象/n,我們/r 發現/v 了/ul 許多/m 問題/n,這些現象,0,我們,1,affective,TR,CHT
23,rang,沒有 辦法 <讓> 他們 平起平坐 ，,沒有/v 辦法/n,他們/r 平起平坐/i,辦法,0,他們,0,physical,INTR,CHT
28,rang,閱覽室 提供 大量 的 資料 可以 <讓> 我們 直接 接觸 豐富 的 資訊 ，,閱覽室/n 提供/v 大量/n 的/uj 資料/n 可以/c,我們/r 直接/ad 接觸/v 豐富/a 的/uj 資訊/n,閱覽室,0,我們,1,affective,TR,CHT
29,rang,可以 說 是 並 沒有 什麼 <讓> 我們 特別 值得 樂觀 的 因素 。,可以/c 說/zg 是/v 並/c 沒有/v 什麼/r,我們/r 特別/d 值得/v 樂觀/a 的/uj 因素/n,因素,0,我們,1,affective,INTR,CHT
30,rang,所以 我們 在 這邊 <讓> 大家 潤潤喉 ，,所以/c 我們/r 在/p 這邊/r,大家/n 潤/zg 潤喉/n,我們,1,大家,1,inducive,TR,CHT
35,rang,我們 就 得 要 有(V_2) 非常 高品質 的 型錄 以及 <讓> 顧客 能夠 迅速 的 接到 產品 的 銷售 網路 ，,我們/r 就/d 得/ud 要/v 有/v V/x 2/x 非常/d 高品質/n 的/uj 型錄/n 以及/c,顧客/nr 能夠/v 迅速/ad 的/uj 接到/v 產品/n 的/uj 銷售/vn 網路/n,型錄及銷售網路,0,顧客,1,affective,TR,CHT
39,rang,劉永福 只好 <讓> 他 走 。,劉永福/nr 只好/d,他/r 走/v,劉永福,1,他,1,inducive,INTR,CHT
44,rang,文章 <讓> 人 看[+vrv] 得 懂[+vrr] ，,文章/n,人/n 看/v vrv/eng 得/ud 懂/v vrr/eng,文章,0,人,1,affective,INTR,CHT
45,rang,蔡元培 贊 之 不 <讓> 乾 、 嘉 學者 ，,蔡元培/nr 贊/v 之/u 不/d,乾/zg 嘉/nr 學者/n,,,,,physical,,CHT
59,rang,派 兩 隊 出去 比賽 也 是 為 了 <讓> 新生 多 吸取 參賽 經驗 。,派/v 兩/m 隊/n 出去/v 比賽/vn 也/d 是/v 為/zg 了/ul,新生/n 多/m 吸取/v 參賽/n 經驗/n,派兩隊出去比賽 ,0,新生,0,physical,TR,CHT
60,rang,目的 就是 要 <讓> 學生 了解 一 間 公司 如何 營運 。,目的/n 就是/d 要/v,學生/n 了解/v 一/m 間/f 公司/n 如何/r 營運/n,目的,0,學生,1,affective,TR,CHT
62,rang,因此 她 計劃 設計 一 套 能 <讓> 師範 院校 學生 進行 死亡 教學 的 培訓 方法 ，,因此/c 她/r 計劃/n 設計/vn 一/m 套/q 能/v,師範/nr 院校/n 學生/n 進行/v 死亡/v 教學/n 的/uj 培訓/vn 方法/n,培訓方法,0,師範院校學生,1,affective,TR,CHT
64,rang,相互 討論 部分 則 <讓> 所有 成員 依 報告 內容 或 時事 之類 交換 意見 ，,相互/d 討論/v 部分/n 則/zg,所有/b 成員/n 依/d 報告/n 內容/n 或/c 時事/n 之類/r 交換/v 意見/n,相互討論部分,0,所有成員,1,affective,TR,CHT
69,rang,本來 是 遊戲 的 心情 <讓> 孩子 從 幼稚園 起 學 棋 ，,本來/t 是/v 遊戲/n 的/uj 心情/n,孩子/n 從/zg 幼稚園/n 起/v 學/zg 棋/n,遊戲的心情,0,孩子,1,affective,TR,CHT
76,rang,希望 政府 <讓> 他 續任 。,希望/v 政府/n,他/r 續任/x,政府,1,他,1,inducive,INTR,CHT
