source,pre,ResuPred,post,Subj,MentalS,Obj,MentalO,Property,Transitivity,Varieties
wikipedia.org,运维 人员 的 职责 是 根据 业务 需要 规划 信息 ， 网络 ， 服务 ， 通过 网络 监控 ， 事件 预警 ， 业务 调度 ， 排障 升级 等 手段 ，,shi,服务 处于 长期 稳定 可用 状态 。,运维 人员,1,服务,0,volitional,TR,CHS
wikipedia.org,· 由 原来 的 两 层 结构 改进 成 现在 的 三 层 结构 ，,shi,电热膜 在 铺装 过程 中 更 结实 更 牢固 .,三 层 结构,0,电热膜,0,physical,INTR,CHS
wikipedia.org,希腊语 地位 的 降低,shi,拉丁语 y 和 i 的 使用 变得 混乱 ， 互换 现象 渐增 ， 甚至 出现 在 拉丁语 固有 词汇 上 。,希腊语 地位 的 降低,0,拉丁语 y 和 i 的 使用,0,physical,INTR,CHS
wikipedia.org,波林 在 1978年 成立 生存 研究 实验室 ，,shi,他 成为 工业 表演 艺术 的 第一 位 从业者 ， 以及 大型 机器 表演 的 先驱 。,波林,1,他,1,inducive,TR,CHS
wikipedia.org,机器 被 重组 ， 以,shi,它们 从 最初 设计 的 功能 中 解放 出来 。,机器 被 重组,0,它們,1,affective,INTR,CHS
wikipedia.org,象征 着 自 更 高 权力 而 来 的 偷听者 的 木制 头像 被 视为 对 大会 成员 进行 威慑,shi,其 不 敢 撒谎 。,木制 头像,0,其 (大会 成员),1,affective,TR,CHS
wikipedia.org,1990年 Schreiber 和 Jeong 小组 发现 一些 氧化 胺类 ， 如 NMO 和 TMANO 能 明显 促进 反应 的 进行 ，,shi,反应 温度 降至 室温 ， 反应 时间 缩短 ， 产率 增加 。,NMO 和 TMANO,0,反应 温度,0,physical,TR,CHS
wikipedia.org,合作 曙光 简便 了 沟通 ，,shi,研究 团队 及 项目 的 交流 变得 更 积极 更 容易 。,合作 曙光,0,研究 团队 及 项目 的 交流,0,physical,TR,CHS
wikipedia.org,该 平台 能,shi,研究 人员 互相 取得 联系 ， 并 加入 主题 工作组 群 。,该 平台,0,研究 人员,1,affective,TR,CHS
wikipedia.org,关联 动态 值 （ 如 会话 ID ） 的 自动 关联,shi,脚本 能够 与 多个 虚拟 客户机 动态 执行 。,关联 动态 值 （ 如 会话 ID ） 的 自动 关联,0,脚本 ,0,physical,TR,CHS
wikipedia.org,你 可以 通过 包括 点 1 在 其中 而使 任何 一 个 U或V 闭合 ， 但是 你 不 能,shi,它们 都 闭合 而 仍 保持 它们 不 相交 。,你,1,它们,0,volitional,INTR,CHS
wikipedia.org,A33号 高速 公路 贯穿 帕德博恩 境内 ， 并 连接 A2 及 A44 高速 公路 ， 从而,shi,帕德博恩 融入 德国 高速 公路 网内 。, A33号 高速 公路,0,帕德博恩,0,physical,TR,CHS
wikipedia.org,她们 在 半决赛 中 战胜 了 卫冕 冠军 天津 女排 ，,shi,对方 十 年 以来 首次 没有 进入 中国 女排 联赛 的 决赛 ， 2012年 3月 3日 ， 她们 在 决赛 中 战胜 了 上海 女排 ， 第一 次 获得 了 中国 女排 联赛 的 冠军 ， 主教练 郎平 也 被 评选 为 本 赛季 最 佳 教练 。,她们,1,对方,1,inducive,TR,CHS
wikipedia.org,讲 Swardspeak 可以 被 认定 为 同性恋者 ， 这,shi,LGBT 社区 的 人们 更 容易 相互 认识 。,讲 Swardspeak 可以 被 认定 为 同性恋者,0,LGBT 社区 的 人们,1,affective,TR,CHS
wikipedia.org,造成 偏离 的 原因 是 多方面 的 ， 其 主要 原因 是 测定 时 的 实际 情况 不 完全 符合,shi,比尔 - 朗伯 定律 成立 的 前提 条件 。,前提 条件,0,比尔 - 朗伯 定律,0,physical,,CHS
wikipedia.org,1850年 ， 盎格鲁 日尔曼 琴在 演奏 乐曲 和 伴奏 上 的 出色 能力 ，,shi,英格兰 地区 的 制造商 开始 开发 重奏 手风琴 体系 。,盎格鲁 日尔曼 琴,0,英格兰 地区 的 制造商,1,affective,TR,CHS
wikipedia.org,可 用来 制作 家具 和 其他 木器 ， 同时 也 是 很 受 欢迎 的 园林 观赏 植物 ， 其中 栽培 最 广泛 的 品种 是 红叶 石楠 （ P. × fraseri ） 及其 众多 栽培 种 ， 这 是 由於 其 耐 修剪 的 特性 ， 而 经常 修剪 可以,shi,其 生长 更佳 ， 并可 创造 出 造型 各 异 的 园林 景观 。,经常 修剪,0,其 (红叶 石楠),0,physical,TR,CHS
wikipedia.org,伊朗 总统 艾哈迈迪 - 内贾德 的 媒体 顾问 阿里·阿克巴尔·杰万 费 科尔 9 日 表示 ， 美国 总统 奥巴马 获得 诺贝尔 和平 奖 后 应该 更加 努力 ，,shi,自己 名副其实 。,奥巴马,1,自己,1,inducive,INTR,CHS
wikipedia.org,在 socialbarkers 的 市场 营销 的 组合 之中 包括 一些 社会 媒体 的 管理 工具 ， 包括 分析 、 洞察 竞争力 和 确定 标准 ； 开发者 - 一 个 企业 出版 工具 ； 广告 - 优化 和 管理 脸 书 和 推特 上 的 广告 ； 倾听 - 有助于,shi,品牌 遵循 对话 的 周围 发生 的 事情 自己 的 品牌 ； 和 专业 服务 - Socialbakers 的 咨询 后台 ， 能 与 客户 密切 合作 ， 帮助 他们 管理 他们 独特 的 社会 景观 。,倾听 ,0,品牌,0,physical,TR,CHS
wikipedia.org,谱 也,shi,局部化 和 商环 是 互补 的 直觉 确切 化 ： 自然 映射 R →Rf 与 R→R/fR 分别 对 应于 ， 将 环 的 谱 赋以 他们 的 扎里斯基 拓扑 后 ， 互补 的 开 、 闭 嵌入 。,,,,,physical,,CHS
wikipedia.org,罗马 帝国 对于 大 不列颠 岛 的 侵占 ， 不但,shi,现在 的 苏格兰 地区 为 欧洲 文明 所知 ， 也 使 不同 的 文化 和 居民 开始 流入 该 地区 。,罗马 帝国 对于 大 不列颠 岛 的 侵占,0,现在 的 苏格兰 地区 ,0,physical,TR,CHS
wikipedia.org,罗马 帝国 对于 大 不列颠 岛 的 侵占 ， 不但 使 现在 的 苏格兰 地区 为 欧洲 文明 所知 ， 也,shi,不同 的 文化 和 居民 开始 流入 该 地区 。,罗马 帝国 对于 大 不列颠 岛 的 侵占,0,不同 的 文化 和 居民,0,physical,TR,CHS
wikipedia.org,社区 - 扶持 社会 企业家 ， 并与 合作 伙伴 一起 帮助 社会 弱势 人群 ，,shi,其 拓展 更 好 的 发展 前景 。,,,,,physical,,CHS
wikipedia.org,爱尔兰 总理 伯蒂·埃亨 宣布 将 在 5月 6日 辞职 ， 他 承认 近期 外界 对 他 个人 财产 上 的 批评,shi,政府 工作 遭到 了 严重 影响 。,外界 对 他 个人 财产 上 的 批评,0,政府 工作,0,physical,TR,CHS
wikipedia.org,根据 《 专利 合作 条约 》 提出 的 国际 申请 ， 仅 能,shi,申请人 向 多国 提出 专利 申请 ， 如果 希望 在 多国 获得 专利权 ， 还 需要 分别 经过 各 国 的 专利 审查 才 有 可能 分别 由 各 国 授予 专利权 。,根据 《 专利 合作 条约 》 提出 的 国际 申请,0,申请人,1,affective,TR,CHS
wikipedia.org," 对于 中心 化过 的 数据 ( 也 就是说 , 数据 移动 一 个 样本 平均值 以",shi,"其 均值 为 0 ) , 相关 系数 也 可以 被 视作 由 两 个 随机 变量 向量 夹角 θ { \ displaystyle\\theta } 的 余弦值 （ 见 下方 ） 。 ",数据,0,其 均值,0,physical,,CHS
wikipedia.org,边远 的 南平 军 一 带 （ 今 綦江 、 万盛 、 南川 等地 ） ， 也 因 大量 汉人 的 迁入 开垦 ，,shi,这些 地方 的 农业 也 很 快 发展 起来 。,大量 汉人 的 迁入 开垦,1,这些 地方 的 农业,0,volitional,INTR,CHS
wikipedia.org,,shi,条目 更 清晰 ， 条目 之间 的 关联性 更 紧密 。,,,,,physical,,CHS
wikipedia.org,^ 《 朝鲜 王朝 太祖 实录 》 ： “ 上 即位 ， 量 受 万户 、 千户 之职 ，,shi,李豆兰 招安 女真 ... 被 发之 俗 ， 尽 袭 冠带 .,上,1,李豆兰,1,inducive,TR,CHS
hfchosp.com,心脏 起搏器 是 一 种 植 入于 体内 的 电子 治疗 仪器 ， 通过 脉冲 发生器 发放 由 电池 提供 能量 的 电脉冲 ， 通过 导线 电极 的 传导 ， 刺激 电极 所 接触 的 心肌 ，,shi,心脏 激动 和 收缩 ， 从而 达到 治疗 由于 某些 心律 失常 所致 的 心脏 功能 障碍 的 目的 。,心脏 起搏器,0,心脏,0,physical,INTR,CHS
sdcxxjzp.com,包胶 杠铃 运用 多 次数 的 肌力 特殊 训练 技巧 ， 针对 全身 肌群 做肌 耐力 训练 ，,shi,脂肪 燃烧 ， 转换 成 健美 的 线条 ， 改善 运动 许久 局部 却 仍 松弛 的 肌肉 ； 此外 ， 更 可 延缓 肌肉 老化 、 增加 骨质 密 、 防止 骨质 疏松 等 效果 。,包胶 杠铃,0,脂肪,0,physical,INTR,CHS
sdcxxjzp.com,包胶 杠铃 用途 广泛 ， 无论是 肩部 、 后背 、 手臂 、 胸部 等 处 肌肉 ， 藉由 杠铃 及 不同 重量 的 铁片 ， 运用 多 次数 的 肌力 特殊 训练 技巧 ， 针对 全身 肌群 做肌 耐力 训练 ，,shi,脂肪 燃烧 ， 转换 成 健美 的 线条 ， 改善 运动 许久 局部 却 仍 松弛 的 肌肉 。,包胶 杠铃,0,脂肪,0,physical,INTR,CHS
shipaoatv.com,3 · 一 阶 动 平衡 平稳 技术 ， 低 震动 ，,shi,驾乘 人员 舒适度 极佳 。,,,,,physical,,CHS
imm-diy.net,大众 传媒 习惯 于 把 护士 描绘 成 医生 的 帮手 ，,shi,不少 人 对 护士 这 种 职业 存在 误解 ， 事实上 护士 并不 是 被动地 执行 医生 的 命令 ， 而是 需要 在 护理 过程 中 自己 做出 判断 。,大众 传媒,0,不少 人,1,affective,TR,CHS
readthedocs.io," 回想 一下 唯一 性 原则 ( OnlyOneWay ) : 我们 希望 在 任何 时候 都 只 使用 一 种 确定 的 I/O 类型 ,",shi,代码 在 所有 I/O 处 都 保持 一致 ., 一 种 确定 的 I/O 类型,0,代码,0,physical,TR,CHS
readthedocs.io," 而且 不要 忘了 , 我们 的 目标 是",shi,"语言 更 紧凑 , 而 不 是 添加 一些 别人 需要 学习 的 新 装备 . ",我们 ,1,语言 ,0,volitional,INTR,CHS
readthedocs.io,避免 复杂 的 函数 定义 ， 以,shi,其 能够 与 constexpr 一起 使用 。,,,,,physical,,CHS
readthedocs.io," ( 尽量 不 要 这么 做 , 如果 非 用 不 可 , 尽量",shi,修改 局部化 ),,,,,physical,,CHS
dbw.cn,19世纪 末 ， 大批 来自 欧洲 的 犹太人 迁居 哈尔滨 ，,shi,哈尔滨 一度 成为 远东 地区 最大 的 犹太人 聚集 中心 。,犹太人,1,哈尔滨,0,volitional,TR,CHS
jsacd.com,补偿 奖励 的 数额 要,shi,农民 对 节水 灌溉 的 投资 获得 不 低于 社会 平均 投资 利润 ， 以 调动 其 节水 积极性 。,补偿 奖励 的 数额,0,农民 对 节水 灌溉 的 投资,0,physical,TR,CHS
sdtianjiaji.com,同时 聚 羧酸 类 物质 吸附 在 水泥 颗粒 表面 ， 羧酸 根 离子,shi,水泥 颗粒 带上 负电荷 ， 减 水剂 从而 使 水泥 颗粒 之间 产生 静电 排斥 作用 并使 水泥 颗粒 分散 ， 导致 抑制 水泥 浆 体 的 凝聚 倾向 ( DLVO 理论 ) ， 增大 水泥 颗粒 与水 的 接触 面积 ， 使 水泥 充分 水化 。,羧酸 根 离子,0,水泥 颗粒,0,physical,TR,CHS
sdtianjiaji.com,同时 聚 羧酸 类 物质 吸附 在 水泥 颗粒 表面 ， 羧酸 根 离子 使 水泥 颗粒 带上 负电荷 ， 减 水剂 从而,shi,水泥 颗粒 之间 产生 静电 排斥 作用 并使 水泥 颗粒 分散 ， 导致 抑制 水泥 浆 体 的 凝聚 倾向 ( DLVO 理论 ) ， 增大 水泥 颗粒 与水 的 接触 面积 ， 使 水泥 充分 水化 。, 减 水剂,0,水泥 颗粒,0,physical,TR,CHS
sdtianjiaji.com,在 水泥 颗粒 表面 ， 羧酸 根 离子 使 水泥 颗粒 带上 负电荷 ， 减 水剂 从而 使 水泥 颗粒 之间 产生 静电 排斥 作用 并使 水泥 颗粒 分散 ， 导致 抑制 水泥 浆 体 的 凝聚 倾向 ( DLVO 理论 ) ， 增大 水泥 颗粒 与水 的 接触 面积 ，,shi,水泥 充分 水化 。, 减 水剂,0,水泥 颗粒,0,physical,INTR,CHS
5hyx.cn,由于 光线 对 被 摄者 各 部分 照明 程度 不同 ， 形成 了 不同 的 亮度 范围 ，,shi,拍摄 出 的 照片 画面 上 的 影相 产生 了 不同 明暗 层次 的 调子 。,光线,0,照片 画面 上 的 影相,0,physical,TR,CHS
5hyx.cn,例如 在 侧 逆光 照明 下 ， 背景 的 色调 较 深 ， 如果 按 人物 的 亮部 的 亮度 为 曝光 依据 ， 所 拍摄 出 的 照片 就 会 出现 低调 的 效果 ， 如果 按 被 摄 人物 的 暗部 进行 曝光 ，,shi,暗部 有 丰富 的 影调 层次 ， 就 可以 获得 中间 调 效果 。,按 被 摄 人物 的 暗部 进行 曝光,0,暗部,0,physical,TR,CHS
uhrp.org,最令 人 惊讶 的 是 生产 建设 兵团 ， 其 雇用 人员 的 86％ 为 汉人 ， 兵团 还 经常 发布 为 汉人 保留 多数 职位 的 招聘 公告 ； 在 教育 部门 ， 政府 的 “ 双语 教育 ” 政策 ， 不仅,shi,维吾尔人 失业 ， 而且 其 招聘 广告 还 经常 公然 为 汉人 保留 职位 。, “ 双语 教育 ” 政策,0,维吾尔人,1,affective,INTR,CHS
uhrp.org,役工 政策 不仅,shi,维吾尔 农民 失去 了 应 获 酬劳 的 工作 机遇 ， 也 阻碍 了 其为 自己 进行 农忙 之 机会 。,役工 政策,0,维吾尔 农民,1,affective,TR,CHS
uhrp.org,在 中国 各 地 的 维吾尔人 劳动 条件 不仅 差 、 不 符合 中国 劳动法 ， 而且 也,shi,维吾尔人 面对 种族 仇视 。,劳动 条件,0,维吾尔人,1,affective,TR,CHS
uhrp.org,政府 的 掩盖,shi,事件 的 细节 很 快 模糊 ， 这 使 虚假 的 谣言 —— 维吾尔 工人 强奸 了 一 名 女 汉人 的 指控 传播 ； 据报 两 名 维吾尔人 被 打死 ， 118 人 受伤 ， 但 其他 报告 认为 维吾尔人 实际 死亡 人数 还 要 高 。,政府 的 掩盖,0,事件 的 细节 ,0,physical,INTR,CHS
