id,ResuPred,sentence,pre,post,Subj,MentalS,Obj,MentalO,Property,Transitivity,Varieties
1,shi,藉 空中 攻擊 刺殺 海珊 總統 和 伊 領導 人士 ， <使> 伊 政權 崩潰 ，,藉/zg 空中/s 攻擊/v 刺殺/v 海珊/x 總統/n 和/c 伊/ns 領導/n 人士/n,伊/ns 政權/n 崩潰/v,空中攻擊,0,伊政權,1,affective,INTR,CHT
18,shi,我 認為 除此之外 沒有 任何 其他 方法 可以 <使> 這 場 戰爭 結束 。,我/r 認為/x 除此之外/c 沒有/v 任何/r 其他/r 方法/n 可以/c,這/zg 場/zg 戰爭/n 結束/v,方法,0,戰爭,0,physical,INTR,CHT
19,shi,外交 解決 可 <使> 美國 減低 地面 戰爭 的 損傷 。,外交/n 解決/v 可/v,美國/ns 減低/v 地面/n 戰爭/n 的/uj 損傷/v,外交解決,0,美國,1,affective,TR,CHT
20,shi,而 家人 好友 的 逆耳 忠言 <使> 妳 從 戀愛 的 昏迷 中 逐漸 甦醒 ，,而/c 家人/n 好友/n 的/uj 逆耳/n 忠言/n,妳/zg 從/zg 戀愛/v 的/uj 昏迷/v 中/f 逐漸/d 甦醒/nr,逆耳忠言,0,妳,1,affective,INTR,CHT
24,shi,這 句 話 <使> 余 大悟 一 番 ，,這/zg 句/q 話/n,余/m 大悟/n 一/m 番/q,這句話,0,余,1,affective,INTR,CHT
31,shi,藉由 教育 和 職業 <使> 她們 能夠 獨立 自主 ，,藉由/nr 教育/vn 和/c 職業/n,她們/r 能夠/v 獨立/v 自主/v,教育和職業,0,她們,1,affective,INTR,CHT
40,shi,如此 研究 成果 將 更 能 <使> 病人 受惠 。,如此/c 研究/vn 成果/n 將/zg 更/d 能/v,病人/n 受惠/v,研究成果,0,病人,1,affective,INTR,CHT
60,shi,其 結果 均 將 <使> 管徑 變窄 ，,其/r 結果/n 均/d 將/zg,管徑/n 變窄/v,結果,0,管徑,0,physical,INTR,CHT
67,shi,也許 成所 慶祝會 的 最 大 意義 可 <使> 本 所 同仁 記取 一些 歷史 事實 ，,也許/d 成所/x 慶祝會/nr 的/uj 最/d 大/a 意義/n 可/v,本/r 所/c 同仁/nr 記取/v 一些/m 歷史/n 事實/n,成所慶祝會的最大意義,0,本所同仁,1,affective,TR,CHT
80,shi,在野黨 質疑 該 案 僅 <使> 地主 受惠 ，,在野黨/n 質疑/v 該/r 案/n 僅/zg,地主/n 受惠/v,該案,0,地主,0,physical,INTR,CHT
